v6	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(R10)
-1.951000000000003e+002	2.772083e+001	3.807222e+001	-1.799861e+001	2.299861e+001	-4.722222e+000	2.777778e-001	-2.105417e+001	-1.577639e+001	-2.077639e+001	2.696111e+001
-1.950000000000003e+002	2.770833e+001	3.805556e+001	-1.798611e+001	2.298611e+001	-4.722222e+000	2.777778e-001	-2.104167e+001	-1.576389e+001	-2.076389e+001	2.694444e+001
-1.949000000000003e+002	2.769583e+001	3.803889e+001	-1.797361e+001	2.297361e+001	-4.722222e+000	2.777778e-001	-2.102917e+001	-1.575139e+001	-2.075139e+001	2.692778e+001
-1.948000000000003e+002	2.768333e+001	3.802222e+001	-1.796111e+001	2.296111e+001	-4.722222e+000	2.777778e-001	-2.101667e+001	-1.573889e+001	-2.073889e+001	2.691111e+001
-1.947000000000003e+002	2.767083e+001	3.800555e+001	-1.794861e+001	2.294861e+001	-4.722222e+000	2.777778e-001	-2.100417e+001	-1.572639e+001	-2.072639e+001	2.689444e+001
-1.946000000000003e+002	2.765833e+001	3.798889e+001	-1.793611e+001	2.293611e+001	-4.722222e+000	2.777778e-001	-2.099167e+001	-1.571389e+001	-2.071389e+001	2.687778e+001
-1.945000000000003e+002	2.764583e+001	3.797222e+001	-1.792361e+001	2.292361e+001	-4.722222e+000	2.777778e-001	-2.097917e+001	-1.570139e+001	-2.070139e+001	2.686111e+001
-1.944000000000003e+002	2.763333e+001	3.795555e+001	-1.791111e+001	2.291111e+001	-4.722222e+000	2.777778e-001	-2.096667e+001	-1.568889e+001	-2.068889e+001	2.684444e+001
-1.943000000000003e+002	2.762083e+001	3.793889e+001	-1.789861e+001	2.289861e+001	-4.722222e+000	2.777778e-001	-2.095417e+001	-1.567639e+001	-2.067639e+001	2.682778e+001
-1.942000000000003e+002	2.760833e+001	3.792222e+001	-1.788611e+001	2.288611e+001	-4.722222e+000	2.777778e-001	-2.094167e+001	-1.566389e+001	-2.066389e+001	2.681111e+001
-1.941000000000003e+002	2.759583e+001	3.790556e+001	-1.787361e+001	2.287361e+001	-4.722222e+000	2.777778e-001	-2.092917e+001	-1.565139e+001	-2.065139e+001	2.679445e+001
-1.940000000000003e+002	2.758333e+001	3.788889e+001	-1.786111e+001	2.286111e+001	-4.722222e+000	2.777778e-001	-2.091667e+001	-1.563889e+001	-2.063889e+001	2.677778e+001
-1.939000000000004e+002	2.757083e+001	3.787222e+001	-1.784861e+001	2.284861e+001	-4.722222e+000	2.777778e-001	-2.090417e+001	-1.562639e+001	-2.062639e+001	2.676111e+001
-1.938000000000004e+002	2.755833e+001	3.785556e+001	-1.783611e+001	2.283611e+001	-4.722222e+000	2.777778e-001	-2.089167e+001	-1.561389e+001	-2.061389e+001	2.674444e+001
-1.937000000000004e+002	2.754583e+001	3.783889e+001	-1.782361e+001	2.282361e+001	-4.722222e+000	2.777778e-001	-2.087917e+001	-1.560139e+001	-2.060139e+001	2.672778e+001
-1.936000000000004e+002	2.753333e+001	3.782222e+001	-1.781111e+001	2.281111e+001	-4.722222e+000	2.777778e-001	-2.086667e+001	-1.558889e+001	-2.058889e+001	2.671111e+001
-1.935000000000004e+002	2.752083e+001	3.780556e+001	-1.779861e+001	2.279861e+001	-4.722222e+000	2.777778e-001	-2.085417e+001	-1.557639e+001	-2.057639e+001	2.669444e+001
-1.934000000000004e+002	2.750833e+001	3.778889e+001	-1.778611e+001	2.278611e+001	-4.722222e+000	2.777778e-001	-2.084167e+001	-1.556389e+001	-2.056389e+001	2.667778e+001
-1.933000000000004e+002	2.749583e+001	3.777222e+001	-1.777361e+001	2.277361e+001	-4.722222e+000	2.777778e-001	-2.082917e+001	-1.555139e+001	-2.055139e+001	2.666111e+001
-1.932000000000004e+002	2.748333e+001	3.775555e+001	-1.776111e+001	2.276111e+001	-4.722222e+000	2.777778e-001	-2.081667e+001	-1.553889e+001	-2.053889e+001	2.664444e+001
-1.931000000000004e+002	2.747083e+001	3.773889e+001	-1.774861e+001	2.274861e+001	-4.722222e+000	2.777778e-001	-2.080417e+001	-1.552639e+001	-2.052639e+001	2.662778e+001
-1.930000000000004e+002	2.745833e+001	3.772222e+001	-1.773611e+001	2.273611e+001	-4.722222e+000	2.777778e-001	-2.079167e+001	-1.551389e+001	-2.051389e+001	2.661111e+001
-1.929000000000004e+002	2.744583e+001	3.770555e+001	-1.772361e+001	2.272361e+001	-4.722222e+000	2.777778e-001	-2.077917e+001	-1.550139e+001	-2.050139e+001	2.659444e+001
-1.928000000000004e+002	2.743333e+001	3.768889e+001	-1.771111e+001	2.271111e+001	-4.722222e+000	2.777778e-001	-2.076667e+001	-1.548889e+001	-2.048889e+001	2.657778e+001
-1.927000000000004e+002	2.742083e+001	3.767222e+001	-1.769861e+001	2.269861e+001	-4.722222e+000	2.777778e-001	-2.075417e+001	-1.547639e+001	-2.047639e+001	2.656111e+001
-1.926000000000004e+002	2.740833e+001	3.765556e+001	-1.768611e+001	2.268611e+001	-4.722222e+000	2.777778e-001	-2.074167e+001	-1.546389e+001	-2.046389e+001	2.654445e+001
-1.925000000000004e+002	2.739583e+001	3.763889e+001	-1.767361e+001	2.267361e+001	-4.722222e+000	2.777778e-001	-2.072917e+001	-1.545139e+001	-2.045139e+001	2.652778e+001
-1.924000000000004e+002	2.738333e+001	3.762222e+001	-1.766111e+001	2.266111e+001	-4.722222e+000	2.777778e-001	-2.071667e+001	-1.543889e+001	-2.043889e+001	2.651111e+001
-1.923000000000004e+002	2.737083e+001	3.760556e+001	-1.764861e+001	2.264861e+001	-4.722222e+000	2.777778e-001	-2.070417e+001	-1.542639e+001	-2.042639e+001	2.649444e+001
-1.922000000000004e+002	2.735833e+001	3.758889e+001	-1.763611e+001	2.263611e+001	-4.722222e+000	2.777778e-001	-2.069167e+001	-1.541389e+001	-2.041389e+001	2.647778e+001
-1.921000000000005e+002	2.734583e+001	3.757222e+001	-1.762361e+001	2.262361e+001	-4.722222e+000	2.777778e-001	-2.067917e+001	-1.540139e+001	-2.040139e+001	2.646111e+001
-1.920000000000005e+002	2.733333e+001	3.755556e+001	-1.761111e+001	2.261111e+001	-4.722222e+000	2.777778e-001	-2.066667e+001	-1.538889e+001	-2.038889e+001	2.644444e+001
-1.919000000000005e+002	2.732083e+001	3.753889e+001	-1.759861e+001	2.259861e+001	-4.722222e+000	2.777778e-001	-2.065417e+001	-1.537639e+001	-2.037639e+001	2.642778e+001
-1.918000000000005e+002	2.730833e+001	3.752222e+001	-1.758611e+001	2.258611e+001	-4.722222e+000	2.777778e-001	-2.064167e+001	-1.536389e+001	-2.036389e+001	2.641111e+001
-1.917000000000005e+002	2.729583e+001	3.750555e+001	-1.757361e+001	2.257361e+001	-4.722222e+000	2.777778e-001	-2.062917e+001	-1.535139e+001	-2.035139e+001	2.639444e+001
-1.916000000000005e+002	2.728333e+001	3.748889e+001	-1.756111e+001	2.256111e+001	-4.722222e+000	2.777778e-001	-2.061667e+001	-1.533889e+001	-2.033889e+001	2.637778e+001
-1.915000000000005e+002	2.727083e+001	3.747222e+001	-1.754861e+001	2.254861e+001	-4.722222e+000	2.777778e-001	-2.060417e+001	-1.532639e+001	-2.032639e+001	2.636111e+001
-1.914000000000005e+002	2.725833e+001	3.745555e+001	-1.753611e+001	2.253611e+001	-4.722222e+000	2.777778e-001	-2.059167e+001	-1.531389e+001	-2.031389e+001	2.634444e+001
-1.913000000000005e+002	2.724583e+001	3.743889e+001	-1.752361e+001	2.252361e+001	-4.722222e+000	2.777778e-001	-2.057917e+001	-1.530139e+001	-2.030139e+001	2.632778e+001
-1.912000000000005e+002	2.723333e+001	3.742222e+001	-1.751111e+001	2.251111e+001	-4.722222e+000	2.777778e-001	-2.056667e+001	-1.528889e+001	-2.028889e+001	2.631111e+001
-1.911000000000005e+002	2.722083e+001	3.740556e+001	-1.749861e+001	2.249861e+001	-4.722222e+000	2.777778e-001	-2.055417e+001	-1.527639e+001	-2.027639e+001	2.629445e+001
-1.910000000000005e+002	2.720833e+001	3.738889e+001	-1.748611e+001	2.248611e+001	-4.722222e+000	2.777778e-001	-2.054167e+001	-1.526389e+001	-2.026389e+001	2.627778e+001
-1.909000000000005e+002	2.719583e+001	3.737222e+001	-1.747361e+001	2.247361e+001	-4.722222e+000	2.777778e-001	-2.052917e+001	-1.525139e+001	-2.025139e+001	2.626111e+001
-1.908000000000005e+002	2.718333e+001	3.735556e+001	-1.746111e+001	2.246111e+001	-4.722222e+000	2.777778e-001	-2.051667e+001	-1.523889e+001	-2.023889e+001	2.624444e+001
-1.907000000000005e+002	2.717083e+001	3.733889e+001	-1.744861e+001	2.244861e+001	-4.722222e+000	2.777778e-001	-2.050417e+001	-1.522639e+001	-2.022639e+001	2.622778e+001
-1.906000000000005e+002	2.715833e+001	3.732222e+001	-1.743611e+001	2.243611e+001	-4.722222e+000	2.777778e-001	-2.049167e+001	-1.521389e+001	-2.021389e+001	2.621111e+001
-1.905000000000005e+002	2.714583e+001	3.730556e+001	-1.742361e+001	2.242361e+001	-4.722222e+000	2.777778e-001	-2.047917e+001	-1.520139e+001	-2.020139e+001	2.619444e+001
-1.904000000000006e+002	2.713333e+001	3.728889e+001	-1.741111e+001	2.241111e+001	-4.722222e+000	2.777778e-001	-2.046667e+001	-1.518889e+001	-2.018889e+001	2.617778e+001
-1.903000000000006e+002	2.712083e+001	3.727222e+001	-1.739861e+001	2.239861e+001	-4.722222e+000	2.777778e-001	-2.045417e+001	-1.517639e+001	-2.017639e+001	2.616111e+001
-1.902000000000006e+002	2.710833e+001	3.725555e+001	-1.738611e+001	2.238611e+001	-4.722222e+000	2.777778e-001	-2.044167e+001	-1.516389e+001	-2.016389e+001	2.614444e+001
-1.901000000000006e+002	2.709583e+001	3.723889e+001	-1.737361e+001	2.237361e+001	-4.722222e+000	2.777778e-001	-2.042917e+001	-1.515139e+001	-2.015139e+001	2.612778e+001
-1.900000000000006e+002	2.708333e+001	3.722222e+001	-1.736111e+001	2.236111e+001	-4.722222e+000	2.777778e-001	-2.041667e+001	-1.513889e+001	-2.013889e+001	2.611111e+001
-1.899000000000006e+002	2.707083e+001	3.720555e+001	-1.734861e+001	2.234861e+001	-4.722222e+000	2.777778e-001	-2.040417e+001	-1.512639e+001	-2.012639e+001	2.609444e+001
-1.898000000000006e+002	2.705833e+001	3.718889e+001	-1.733611e+001	2.233611e+001	-4.722222e+000	2.777778e-001	-2.039167e+001	-1.511389e+001	-2.011389e+001	2.607778e+001
-1.897000000000006e+002	2.704583e+001	3.717222e+001	-1.732361e+001	2.232361e+001	-4.722222e+000	2.777778e-001	-2.037917e+001	-1.510139e+001	-2.010139e+001	2.606111e+001
-1.896000000000006e+002	2.703333e+001	3.715556e+001	-1.731111e+001	2.231111e+001	-4.722222e+000	2.777778e-001	-2.036667e+001	-1.508889e+001	-2.008889e+001	2.604445e+001
